Customer_ID,Full_Name,NIC_Number,Gender,Date_of_Birth,Age,District,Province,Urban_Rural,Customer_Segment,Account_Open_Date,Customer_Tenure_Years,Savings_Balance,Monthly_Deposit_Avg,Monthly_Withdrawal_Avg,Net_Monthly_Flow,Account_Status,Interest_Rate_Tier,Has_Loan,Loan_Type,Loan_Amount,Loan_Tenure_Months,Monthly_Repayment_Amount,Loan_Repayment_Status,Loan_Start_Date,Outstanding_Loan_Balance,Mobile_App_User,Last_Login_Date,Monthly_Transaction_Count,Preferred_Channel,Push_Notification_Enabled,KYC_Status,KYC_Last_Updated,Suspicious_Activity_Flag,PEP_Flag,Has_Fixed_Deposit,FD_Amount,Has_Insurance,Has_Mobile_Wallet,Number_of_Products,Acquisition_Channel,Referral_Source,Last_Campaign_Response,Promo_Code_Used,Age_Band,Debt_to_Savings,Savings_Growing,CrossSell_Opportunity,High_Risk_Flag
FSL-0001,Mark Johnson,808614657V,Female,1980-12-26,43,Kandy,Central,Suburban,Regular,2021-02-11,5.2,87812.29,3979.24,1264.91,2714.33,Active,Standard,No,,,,,,,,Yes,2023-07-21,28,Branch,Yes,Verified,2020-01-14,No,No,No,,No,Yes,2,Referral,Friend,Responded,Yes,35-44,,True,True,False
FSL-0002,Deborah Phillips,718478527V,Female,1971-12-13,52,Badulla,Uva,Urban,Starter,2015-11-19,10.4,85045.89,5933.17,3981.82,1951.35,Inactive,Standard,No,,,,,,,,No,,0,Branch,No,Expired,2021-04-21,No,No,No,,No,Yes,2,Referral,Family,Ignored,No,45-54,,True,True,False
FSL-0003,Charles Phillips,933515010V,Male,1993-12-17,30,Kandy,Central,Suburban,Regular,2022-03-06,4.2,556766.33,18471.79,9135.59,9336.2,Inactive,Silver,Yes,Personal,2424885.11,48.0,55570.28,On-Time,2022-10-08,2124601.17,Yes,2023-12-01,22,Branch,No,Verified,2023-08-09,No,No,Yes,1166599.45,No,No,3,Agent,Colleague,Responded,No,25-34,3.8159656134378674,True,False,False
FSL-0004,Rachel Hall,720422796V,Male,1972-02-11,51,Kandy,Central,Suburban,Regular,2019-09-26,6.6,485199.04,20905.3,13745.93,7159.369999999999,Active,Silver,Yes,Personal,2056836.06,12.0,188543.31,Delayed,2022-09-29,1518451.26,No,,2,App,Yes,Verified,2020-01-07,No,No,Yes,1051113.61,Yes,No,4,Referral,,Ignored,Yes,45-54,3.1295430015690058,True,False,False
FSL-0005,Sharon Bell,940729689V,Male,1994-03-13,29,Colombo,Western,Suburban,Regular,2016-04-03,10.1,744696.92,54156.83,43271.27,10885.560000000005,Active,Silver,Yes,Personal,302677.68,48.0,6936.36,Delayed,2022-03-24,227298.61,Yes,2023-09-30,12,Online,Yes,Verified,2021-03-09,No,No,No,,No,Yes,3,Referral,,Unsubscribed,No,25-34,0.3052229758114213,True,True,False
FSL-0006,Nancy Harris,850611344V,Male,1985-03-02,38,Trincomalee,Eastern,Suburban,Regular,2015-01-30,11.2,75374.61,4361.64,1907.63,2454.01,Inactive,Standard,No,,,,,,,,Yes,2023-07-31,19,Agent,Yes,Verified,2023-03-15,No,No,No,,No,Yes,2,Agent,Colleague,Ignored,No,35-44,,True,True,False
FSL-0007,Richard Stewart,722647596V,Male,1972-09-20,51,Jaffna,Northern,Rural,Premium,2017-02-23,9.2,1355940.09,63616.39,35188.07,28428.32,Active,Gold,Yes,Personal,1357235.7,60.0,24882.65,On-Time,2023-03-18,1100207.08,No,,1,Branch,Yes,Verified,2022-04-01,No,No,Yes,841801.34,No,No,3,Referral,,Ignored,No,45-54,0.8113980021049455,True,False,False
FSL-0008,Samantha Anderson,831144566V,Male,1983-04-24,40,Colombo,Western,Suburban,Regular,2023-05-22,2.9,264611.75,6088.33,3568.21,2520.12,Inactive,Silver,No,,,,,,,,Yes,2023-10-09,7,Branch,Yes,Verified,2021-04-26,No,No,No,,No,Yes,2,Digital,,Ignored,No,35-44,,True,True,False
FSL-0009,Michelle Thompson,000166147V,Male,2000-01-16,23,Galle,Southern,Urban,Premium,2022-03-28,4.1,1849986.86,72095.16,54152.02,17943.140000000007,Active,Gold,No,,,,,,,,No,,0,App,Yes,Verified,2020-09-28,No,No,No,,No,Yes,2,Referral,,Unsubscribed,No,18-24,,True,True,False
FSL-0010,Janet Smith,997772697V,Female,1999-10-04,24,Kandy,Central,Urban,Starter,2023-04-29,3.0,85217.43,3096.88,2052.92,1043.96,Active,Standard,Yes,Vehicle,1540956.72,36.0,47084.79,Defaulted,2023-12-01,220632.73,Yes,2023-12-30,19,App,Yes,Pending,2023-07-28,No,No,No,,No,No,2,Digital,Friend,Unsubscribed,No,18-24,2.589056370275424,True,True,True
